ID,Nombre,Fecha,Costo
1,Producto A,2024-01-01,100.00
2,Producto B,2024-01-02,150.00
3,Producto C,2024-01-03,200.00
4,Producto D,2024-01-04,250.00
5,Producto E,2024-01-05,300.00
6,Producto F,2024-01-06,350.00
7,Producto G,2024-01-07,400.00
8,Producto H,2024-01-08,450.00
9,Producto I,2024-01-09,500.00
10,Producto J,2024-01-10,550.00
11,Producto A,2024-01-11,100.00
12,Producto B,2024-01-12,150.00
13,Producto C,2024-01-13,200.00
14,Producto D,2024-01-14,250.00
15,Producto E,2024-01-15,300.00
16,Producto F,2024-01-16,350.00
17,Producto G,2024-01-17,400.00
18,Producto H,2024-01-18,450.00
19,Producto I,2024-01-19,500.00
20,Producto J,2024-01-20,550.00
21,Producto A,2024-01-21,100.00
22,Producto B,2024-01-22,150.00
23,Producto C,2024-01-23,200.00
24,Producto D,2024-01-24,250.00
25,Producto E,2024-01-25,300.00
26,Producto F,2024-01-26,350.00
27,Producto G,2024-01-27,400.00
28,Producto H,2024-01-28,450.00
29,Producto I,2024-01-29,500.00
30,Producto J,2024-01-30,550.00
31,Producto A,2024-01-31,100.00
32,Producto B,2024-02-01,150.00
33,Producto C,2024-02-02,200.00
34,Producto D,2024-02-03,250.00
35,Producto E,2024-02-04,300.00
36,Producto F,2024-02-05,350.00
37,Producto G,2024-02-06,400.00
38,Producto H,2024-02-07,450.00
39,Producto I,2024-02-08,500.00
40,Producto J,2024-02-09,550.00
41,Producto A,2024-02-10,100.00
42,Producto B,2024-02-11,150.00
43,Producto C,2024-02-12,200.00
44,Producto D,2024-02-13,250.00
45,Producto E,2024-02-14,300.00
46,Producto F,2024-02-15,350.00
47,Producto G,2024-02-16,400.00
48,Producto H,2024-02-17,450.00
49,Producto I,2024-02-18,500.00
50,Producto J,2024-02-19,550.00
51,Producto A,2024-02-20,100.00
52,Producto B,2024-02-21,150.00
53,Producto C,2024-02-22,200.00
54,Producto D,2024-02-23,250.00
55,Producto E,2024-02-24,300.00
56,Producto F,2024-02-25,350.00
57,Producto G,2024-02-26,400.00
58,Producto H,2024-02-27,450.00
59,Producto I,2024-02-28,500.00
60,Producto J,2024-02-29,550.00
61,Producto A,2024-03-01,100.00
62,Producto B,2024-03-02,150.00
63,Producto C,2024-03-03,200.00
64,Producto D,2024-03-04,250.00
65,Producto E,2024-03-05,300.00
66,Producto F,2024-03-06,350.00
67,Producto G,2024-03-07,400.00
68,Producto H,2024-03-08,450.00
69,Producto I,2024-03-09,500.00
70,Producto J,2024-03-10,550.00
71,Producto A,2024-03-11,100.00
72,Producto B,2024-03-12,150.00
73,Producto C,2024-03-13,200.00
74,Producto D,2024-03-14,250.00
75,Producto E,2024-03-15,300.00
76,Producto F,2024-03-16,350.00
77,Producto G,2024-03-17,400.00
78,Producto H,2024-03-18,450.00
79,Producto I,2024-03-19,500.00
80,Producto J,2024-03-20,550.00
81,Producto A,2024-03-21,100.00
82,Producto B,2024-03-22,150.00
83,Producto C,2024-03-23,200.00
84,Producto D,2024-03-24,250.00
85,Producto E,2024-03-25,300.00
86,Producto F,2024-03-26,350.00
87,Producto G,2024-03-27,400.00
88,Producto H,2024-03-28,450.00
89,Producto I,2024-03-29,500.00
90,Producto J,2024-03-30,550.00
91,Producto A,2024-04-01,100.00
92,Producto B,2024-04-02,150.00
